year_month,channel,total_transactions,total_volume_usd,fraud_transactions,fraud_loss_usd,fraud_rate_pct,alert_count,false_positive_count,avg_risk_score,chargebacks_usd,net_fraud_loss_usd
2024-01,CARD_POS,3240,487600.00,18,14320.00,0.56,52,34,11.2,14320.00,0.00
2024-01,CARD_CNP,1890,2134500.00,58,98400.00,3.07,187,102,28.4,91200.00,7200.00
2024-01,ACH_CREDIT,820,18900000.00,4,112000.00,0.49,18,12,14.7,112000.00,0.00
2024-01,ACH_DEBIT,1340,5670000.00,14,87500.00,1.04,41,27,13.8,87500.00,0.00
2024-01,WIRE_DOMESTIC,198,42300000.00,5,345000.00,2.53,22,14,28.1,290000.00,55000.00
2024-01,WIRE_INTERNATIONAL,87,67800000.00,8,1240000.00,9.20,34,8,42.3,890000.00,350000.00
2024-01,DIGITAL_WALLET,2560,3120000.00,65,142300.00,2.54,198,118,24.7,128000.00,14300.00
2024-01,DIGITAL_TRANSFER,1180,8900000.00,52,234500.00,4.41,156,87,32.6,198000.00,36500.00
2024-02,CARD_POS,3180,476400.00,16,12800.00,0.50,48,32,10.9,12800.00,0.00
2024-02,CARD_CNP,1920,2198000.00,63,107200.00,3.28,201,108,29.1,99400.00,7800.00
2024-02,ACH_CREDIT,845,19400000.00,3,89000.00,0.36,15,11,14.2,89000.00,0.00
2024-02,ACH_DEBIT,1310,5540000.00,13,78900.00,0.99,38,25,13.4,78900.00,0.00
2024-02,WIRE_DOMESTIC,204,44100000.00,4,289000.00,1.96,20,13,27.4,240000.00,49000.00
2024-02,WIRE_INTERNATIONAL,92,71200000.00,9,1380000.00,9.78,38,9,43.7,980000.00,400000.00
2024-02,DIGITAL_WALLET,2610,3280000.00,68,154200.00,2.61,207,122,25.2,139000.00,15200.00
2024-02,DIGITAL_TRANSFER,1210,9200000.00,55,251000.00,4.55,164,91,33.4,212000.00,39000.00
2024-03,CARD_POS,3290,494500.00,15,11900.00,0.46,44,30,10.6,11900.00,0.00
2024-03,CARD_CNP,1970,2267000.00,59,100100.00,2.99,194,105,28.8,92800.00,7300.00
2024-03,ACH_CREDIT,860,19800000.00,3,94000.00,0.35,14,10,13.9,94000.00,0.00
2024-03,ACH_DEBIT,1360,5760000.00,12,73200.00,0.88,36,24,13.1,73200.00,0.00
2024-03,WIRE_DOMESTIC,210,45600000.00,5,312000.00,2.38,21,14,27.8,260000.00,52000.00
2024-03,WIRE_INTERNATIONAL,95,74500000.00,8,1190000.00,8.42,35,8,43.1,840000.00,350000.00
2024-03,DIGITAL_WALLET,2680,3360000.00,62,139600.00,2.31,192,115,24.6,125000.00,14600.00
2024-03,DIGITAL_TRANSFER,1240,9500000.00,51,243000.00,4.11,158,89,32.9,206000.00,37000.00
2024-04,CARD_POS,3340,501000.00,14,11200.00,0.42,42,29,10.4,11200.00,0.00
2024-04,CARD_CNP,2010,2314500.00,57,96900.00,2.84,188,104,28.5,89700.00,7200.00
2024-04,ACH_CREDIT,875,20100000.00,4,108000.00,0.46,16,12,14.1,108000.00,0.00
2024-04,ACH_DEBIT,1390,5880000.00,13,79300.00,0.94,37,25,13.0,79300.00,0.00
2024-04,WIRE_DOMESTIC,215,46800000.00,4,287000.00,1.86,19,13,27.1,240000.00,47000.00
2024-04,WIRE_INTERNATIONAL,98,76900000.00,10,1520000.00,10.20,41,9,44.5,1070000.00,450000.00
2024-04,DIGITAL_WALLET,2740,3430000.00,71,159800.00,2.59,214,126,25.3,143000.00,16800.00
2024-04,DIGITAL_TRANSFER,1270,9730000.00,56,267000.00,4.41,169,93,33.7,226000.00,41000.00
2024-05,CARD_POS,3400,510000.00,13,10400.00,0.38,40,28,10.1,10400.00,0.00
2024-05,CARD_CNP,2060,2371000.00,55,93500.00,2.67,183,101,28.2,86600.00,6900.00
2024-05,ACH_CREDIT,890,20500000.00,3,87000.00,0.34,14,10,13.8,87000.00,0.00
2024-05,ACH_DEBIT,1410,5970000.00,11,67100.00,0.78,33,23,12.7,67100.00,0.00
2024-05,WIRE_DOMESTIC,218,47500000.00,4,312000.00,1.83,20,13,26.9,264000.00,48000.00
2024-05,WIRE_INTERNATIONAL,101,79200000.00,9,1380000.00,8.91,38,9,44.1,972000.00,408000.00
2024-05,DIGITAL_WALLET,2800,3510000.00,67,150800.00,2.39,204,121,24.9,135000.00,15800.00
2024-05,DIGITAL_TRANSFER,1300,9960000.00,53,252000.00,4.08,160,90,33.2,214000.00,38000.00
2024-06,CARD_POS,3460,519000.00,12,9600.00,0.35,37,26,9.8,9600.00,0.00
2024-06,CARD_CNP,2100,2416500.00,53,90100.00,2.52,177,99,27.9,83400.00,6700.00
2024-06,ACH_CREDIT,905,20900000.00,3,91000.00,0.33,13,10,13.6,91000.00,0.00
2024-06,ACH_DEBIT,1430,6060000.00,11,67100.00,0.77,32,22,12.5,67100.00,0.00
2024-06,WIRE_DOMESTIC,221,48100000.00,3,235000.00,1.36,17,12,26.6,198000.00,37000.00
2024-06,WIRE_INTERNATIONAL,104,81600000.00,8,1230000.00,7.69,34,8,43.6,865000.00,365000.00
2024-06,DIGITAL_WALLET,2860,3590000.00,65,146300.00,2.27,199,118,24.6,131000.00,15300.00
2024-06,DIGITAL_TRANSFER,1330,10200000.00,51,242000.00,3.83,154,88,32.8,206000.00,36000.00
2024-07,CARD_POS,3510,526500.00,11,8800.00,0.31,35,25,9.5,8800.00,0.00
2024-07,CARD_CNP,2140,2462000.00,51,86700.00,2.38,172,97,27.6,80300.00,6400.00
2024-07,ACH_CREDIT,920,21200000.00,2,78000.00,0.22,11,9,13.3,78000.00,0.00
2024-07,ACH_DEBIT,1450,6140000.00,10,61000.00,0.69,30,21,12.2,61000.00,0.00
2024-07,WIRE_DOMESTIC,224,48800000.00,4,289000.00,1.79,18,12,26.3,243000.00,46000.00
2024-07,WIRE_INTERNATIONAL,107,83900000.00,10,1530000.00,9.35,42,9,44.8,1074000.00,456000.00
2024-07,DIGITAL_WALLET,2920,3660000.00,63,141800.00,2.16,193,115,24.3,127000.00,14800.00
2024-07,DIGITAL_TRANSFER,1360,10420000.00,49,233000.00,3.60,149,85,32.4,198000.00,35000.00
2024-08,CARD_POS,3560,534000.00,10,8000.00,0.28,32,23,9.2,8000.00,0.00
2024-08,CARD_CNP,2180,2508000.00,49,83300.00,2.25,167,95,27.3,77200.00,6100.00
2024-08,ACH_CREDIT,935,21500000.00,2,82000.00,0.21,10,8,13.1,82000.00,0.00
2024-08,ACH_DEBIT,1470,6220000.00,10,61000.00,0.68,29,20,12.0,61000.00,0.00
2024-08,WIRE_DOMESTIC,227,49400000.00,3,234000.00,1.32,16,11,26.0,197000.00,37000.00
2024-08,WIRE_INTERNATIONAL,110,86300000.00,9,1380000.00,8.18,38,9,44.3,968000.00,412000.00
2024-08,DIGITAL_WALLET,2980,3730000.00,61,137300.00,2.05,187,113,24.0,123000.00,14300.00
2024-08,DIGITAL_TRANSFER,1390,10650000.00,47,223000.00,3.38,143,82,32.0,190000.00,33000.00
2024-09,CARD_POS,3600,540000.00,9,7200.00,0.25,30,22,9.0,7200.00,0.00
2024-09,CARD_CNP,2210,2542500.00,47,79900.00,2.13,162,93,27.0,74000.00,5900.00
2024-09,ACH_CREDIT,945,21700000.00,2,76000.00,0.21,10,8,12.9,76000.00,0.00
2024-09,ACH_DEBIT,1490,6310000.00,9,54900.00,0.60,27,19,11.8,54900.00,0.00
2024-09,WIRE_DOMESTIC,230,50000000.00,3,231000.00,1.30,16,11,25.7,194000.00,37000.00
2024-09,WIRE_INTERNATIONAL,113,88700000.00,8,1230000.00,7.08,33,8,43.7,862000.00,368000.00
2024-09,DIGITAL_WALLET,3040,3810000.00,59,132800.00,1.94,182,111,23.7,119000.00,13800.00
2024-09,DIGITAL_TRANSFER,1420,10890000.00,45,214000.00,3.17,137,80,31.6,182000.00,32000.00
2024-10,CARD_POS,3650,547500.00,8,6400.00,0.22,28,21,8.7,6400.00,0.00
2024-10,CARD_CNP,2250,2587500.00,45,76500.00,2.00,157,91,26.7,70900.00,5600.00
2024-10,ACH_CREDIT,960,22000000.00,2,80000.00,0.21,9,7,12.7,80000.00,0.00
2024-10,ACH_DEBIT,1510,6400000.00,9,54900.00,0.60,26,18,11.6,54900.00,0.00
2024-10,WIRE_DOMESTIC,233,50700000.00,2,156000.00,0.86,14,10,25.4,131000.00,25000.00
2024-10,WIRE_INTERNATIONAL,116,91000000.00,7,1080000.00,6.03,30,8,43.1,756000.00,324000.00
2024-10,DIGITAL_WALLET,3100,3880000.00,57,128300.00,1.84,176,108,23.4,115000.00,13300.00
2024-10,DIGITAL_TRANSFER,1450,11110000.00,43,204000.00,2.97,131,77,31.2,174000.00,30000.00
2024-11,CARD_POS,3820,573000.00,8,6400.00,0.21,27,20,8.5,6400.00,0.00
2024-11,CARD_CNP,2410,2771500.00,46,78200.00,1.91,154,90,26.4,72400.00,5800.00
2024-11,ACH_CREDIT,980,22500000.00,2,75000.00,0.20,9,7,12.5,75000.00,0.00
2024-11,ACH_DEBIT,1560,6610000.00,8,48800.00,0.51,24,18,11.4,48800.00,0.00
2024-11,WIRE_DOMESTIC,238,51800000.00,2,158000.00,0.84,13,10,25.1,133000.00,25000.00
2024-11,WIRE_INTERNATIONAL,119,93400000.00,7,1080000.00,5.88,29,8,42.6,754000.00,326000.00
2024-11,DIGITAL_WALLET,3290,4110000.00,60,135000.00,1.82,180,110,23.2,121000.00,14000.00
2024-11,DIGITAL_TRANSFER,1530,11730000.00,44,209000.00,2.88,134,79,30.9,178000.00,31000.00
2024-12,CARD_POS,4120,618000.00,9,7200.00,0.22,29,21,8.4,7200.00,0.00
2024-12,CARD_CNP,2680,3082000.00,50,85000.00,1.87,159,93,26.2,78700.00,6300.00
2024-12,ACH_CREDIT,1010,23200000.00,2,78000.00,0.20,9,7,12.3,78000.00,0.00
2024-12,ACH_DEBIT,1640,6950000.00,9,54900.00,0.55,25,18,11.2,54900.00,0.00
2024-12,WIRE_DOMESTIC,245,53300000.00,2,162000.00,0.82,14,10,24.8,136000.00,26000.00
2024-12,WIRE_INTERNATIONAL,124,97300000.00,8,1230000.00,6.45,31,8,42.2,862000.00,368000.00
2024-12,DIGITAL_WALLET,3580,4480000.00,65,146300.00,1.82,196,118,23.0,131000.00,15300.00
2024-12,DIGITAL_TRANSFER,1680,12880000.00,48,228000.00,2.86,146,84,30.6,194000.00,34000.00
